"id";"date";"truck_id";"nbags";"net_weight";"origin";"supplier";"moisture";"nut_count";"outturn";"defective";"price";"year";"month";"day";"avg_wpb"
153;"2015-04-22";102;412;41048;60;8;8.0;175.0;47.7;8.05;"";2015;4;22;99.63106796116504
154;"2015-04-22";103;475;40925;82;115;15.13;170.0;46.64;9.95;"";2015;4;22;86.15789473684211
155;"2015-04-22";9;407;36261;9;84;12.56;201.0;45.49;13.1;"";2015;4;22;89.0933660933661
156;"2015-04-22";90;420;33712;1;62;15.63;201.0;47.26;17.0;"";2015;4;22;80.26666666666667
157;"2015-04-22";58;429;39491;75;14;7.96;192.0;47.08;9.5;"";2015;4;22;92.05361305361305
158;"2015-04-22";104;465;39375;66;119;8.53;178.0;44.44;14.69;"";2015;4;22;84.6774193548387
159;"2015-04-22";43;432;38968;40;115;16.23;167.0;47.96;6.85;"";2015;4;22;90.20370370370371
160;"2015-04-22";105;430;35902;66;120;11.7;183.0;46.2;13.25;"";2015;4;22;83.49302325581395
161;"2015-04-22";23;412;35668;9;84;13.5;191.0;46.2;11.9;"";2015;4;22;86.57281553398059
162;"2015-04-22";106;439;40421;66;119;14.3;183.0;47.08;11.5;"";2015;4;22;92.0751708428246
163;"2015-04-23";107;467;41453;60;118;9.73;180.0;46.81;8.15;"";2015;4;23;88.7644539614561
164;"2015-04-23";108;465;38835;14;14;9.03;175.0;46.11;10.5;"";2015;4;23;83.51612903225806
165;"2015-04-23";109;473;39619;43;114;13.1;194.0;46.2;12.7;"";2015;4;23;83.76109936575052
166;"2015-04-23";110;516;39508;66;119;12.7;184.0;44.0;17.7;"";2015;4;23;76.56589147286822
167;"2015-04-23";93;410;35614;9;84;16.36;196.0;48.31;9.55;"";2015;4;23;86.86341463414634
168;"2015-04-24";1;414;39366;66;119;11.4;175.0;45.4;13.05;"";2015;4;24;95.08695652173913
169;"2015-04-24";22;380;33256;60;118;8.53;171.0;46.46;7.9;"";2015;4;24;87.51578947368421
170;"2015-04-24";111;496;39624;66;119;12.06;188.0;46.9;13.25;"";2015;4;24;79.88709677419355
171;"2015-04-25";45;372;33184;41;120;9.96;183.0;47.25;9.95;"";2015;4;25;89.20430107526882
172;"2015-04-25";112;455;40813;60;118;9.5;182.0;48.22;7.6;"";2015;4;25;89.6989010989011
173;"2015-04-25";52;450;39574;19;18;9.96;177.0;47.08;8.9;"";2015;4;25;87.94222222222223
174;"2015-04-25";113;392;34168;9;75;11.16;201.0;49.36;8.8;"";2015;4;25;87.16326530612245
